t,gt_x,gt_y,gt_theta,gt_psi1,odom_x,odom_y,odom_theta,odom_psi1,v_cmd,w_cmd
0.000000000000000000e+00,1.046824796798744961e+00,1.000420038062065364e+00,1.993373049823239998e-02,1.950753008093657204e-02,1.046827448256944626e+00,1.000000000000000000e+00,1.993373049823240345e-02,1.993373049823240345e-02,4.682744825694464263e-01,1.993373049823240206e-01
1.000000000000000056e-01,1.094199803365795365e+00,1.001713900758549824e+00,3.631276226074804658e-02,3.460271546905805545e-02,1.094211228771841071e+00,1.000944660635524341e+00,3.631276226074803964e-02,3.534188802074354069e-02,4.739319613193647696e-01,1.637903176251563619e-01
2.000000000000000111e-01,1.142012423100147611e+00,1.003741172025918171e+00,4.978430623561649893e-02,4.611577440686144558e-02,1.142035617605016151e+00,1.002682060019244314e+00,4.978430623561651974e-02,4.707554185684656445e-02,4.785593718531984120e-01,1.347154397486848010e-01
3.000000000000000444e-01,1.190174641891337703e+00,1.006381912448432336e+00,6.087535178551571613e-02,5.472788459339495565e-02,1.190210660795176345e+00,1.005082404516407735e+00,6.087535178551570919e-02,5.583376005868565667e-02,4.823480527667617368e-01,1.109104554989918945e-01
4.000000000000000222e-01,1.238617289729097237e+00,1.009534564006274504e+00,7.001553821317678394e-02,6.099711497701564011e-02,1.238666032938301687e+00,1.008035791471929565e+00,7.001553821317675619e-02,6.218971395489986120e-02,4.854529414925629061e-01,9.140186427661042834e-02
5.000000000000000000e-01,1.287285720378469334e+00,1.013113673583709184e+00,7.755553203335850687e-02,6.538011088667040893e-02,1.287346441489077842e+00,1.011449756920422827e+00,7.755553203335853463e-02,6.661264665089308701e-02,4.879997271263572522e-01,7.539993820181772888e-02
5.999999999999999778e-01,1.336136547235657668e+00,1.017047668793320758e+00,8.378183509690499686e-02,6.825011927062511752e-02,1.336208177132709229e+00,1.015246870915901933e+00,8.378183509690498298e-02,6.948621698048935980e-02,4.900905309024837231e-01,6.226303063546445582e-02
6.999999999999999556e-01,1.385135164815012532e+00,1.021276804217541523e+00,8.892874527245329952e-02,6.991190722942529356e-02,1.385216511974618703e+00,1.019362513428076600e+00,8.892874527245323013e-02,7.112373209253389228e-02,4.918084380391152255e-01,5.146910175548244371e-02
7.999999999999999334e-01,1.434253855670801325e+00,1.025751328667877660e+00,9.318803678446609118e-02,7.061407093279671587e-02,1.434343725602966080e+00,1.023742888124739459e+00,9.318803678446603567e-02,7.178074619980917559e-02,4.932211270179380769e-01,4.259291512012799985e-02
8.999999999999999112e-01,1.483470335280530739e+00,1.030429885710651083e+00,9.671680852745810630e-02,7.055916857835332900e-02,1.483567597744035016e+00,1.028343288489563800e+00,9.671680852745812018e-02,7.166545110304801958e-02,4.943837853405980698e-01,3.528771742992079657e-02
